,team
0,01 Man United England 87.7 3778 3328 61.8 24 95 23 63 6
1,02 Betis Spain 87.3 3308 2901 52.7 31 70 22 67 6
2,03 Trabzonspor Türkiye 85.7 3326 2880 58.8 25 93 24 84 6
3,03 Bodø/Glimt Norway 85.7 3134 2694 51.8 16 71 12 67 6
4,05 Arsenal England 85.5 3335 2876 59.3 31 98 31 78 6
5,06 Lazio Italy 85.3 3662 3142 58 24 77 19 78 6
6,07 Roma Italy 85.2 2895 2470 53 33 105 35 86 6
7,08 Fenerbahçe Türkiye 84 2918 2452 58.7 18 88 16 118 6
8,09 Ludogorets Bulgaria 83.8 2705 2277 50 19 63 12 85 6
9,10 Real Sociedad Spain 83.3 3221 2696 58.8 20 81 17 67 6
10,11 PSV Netherlands 82.5 2696 2252 44.7 25 60 15 68 6
11,12 Braga Portugal 82 3070 2521 55.5 28 88 25 101 6
12,12 Freiburg Germany 82 2998 2481 52.5 26 103 27 65 6
13,14 Rennes France 81.8 2569 2125 49.2 32 98 32 81 6
14,15 Qarabağ Azerbaijan 81.2 2787 2261 56.7 17 78 14 67 6
