,Rank,Nom,Equipe,Poste,Goals,Right_foot,Left_foot,Head,Others,Goals_inside_area,Goals_outside,Penalty,Match_played
0,01,Mbappé,Paris,Forward,7,7,0,0,0,6,1,1,6
1,01,Salah,Liverpool,Forward,7,0,7,0,0,7,0,1,6
2,03,Taremi,Porto,Forward,5,5,0,0,0,4,1,2,5
3,03,Lewandowski,Barcelona,Forward,5,2,1,2,0,4,1,0,5
4,03,Haaland,Man_City,Forward,5,1,4,0,0,5,0,0,4
5,06,João_Mário,Benfica,Midfielder,4,4,0,0,0,3,1,3,6
6,06,Vinícius_Júnior,Real_Madrid,Forward,4,3,0,1,0,4,0,0,6
7,06,Simeone,Napoli,Forward,4,3,0,1,0,4,0,0,5
8,06,Bellingham,Dortmund,Midfielder,4,3,0,1,0,4,0,0,5
9,06,Kudus,Ajax,Midfielder,4,2,2,0,0,4,0,0,6
10,06,Sané,Bayern,Midfielder,4,2,2,0,0,3,1,0,4
11,06,Rafa_Silva,Benfica,Forward,4,2,1,0,0,4,0,0,6
12,06,Raspadori,Napoli,Forward,4,1,2,1,0,4,0,0,5
13,06,Messi,Paris,Forward,4,0,4,0,0,2,2,0,5
14,06,Giroud,Milan,Forward,4,0,3,1,0,4,0,2,6
